Floresta Ombrófila Densa Montana,Mata Atlantica,1
Floresta Ombrófila Mista,Mata Atlantica,1
Floresta Ombrófila Densa de Terras Baixas,Mata Atlantica,1
Floresta Estacional Semidecidual Montana,Mata Atlantica,1
Floresta Estacional Semidecidual,Mata Atlantica,1
Floresta Ombrófila Mista Montana,Mata Atlantica,1
Floresta Estacional Decidual,Mata Atlantica,1
Floresta Ombrófila Densa,Mata Atlantica,1
Floresta Ombrófila Densa Submontana,Mata Atlantica,1
Floresta Estacional Aluvial,Mata Atlantica,1
