Heisteria silvianii,1
Chionanthus filiformis,1
Savia dictyocarpa,1
Coccoloba warmingii,1
Myrsine gardneriana,1
Myrsine hermogenesii,1
Amaioua intermedia,1
Bathysa australis,1
Bathysa stipulata,1
Cordiera myrciifolia,1
Ixora brevifolia,1
Posoqueria latifolia,1
Rudgea gardenioides,1
Rudgea jasminoides,1
Simira pikia,1
Esenbeckia grandiflora,1
Meliosma sellowii,1
Casearia decandra,1
Casearia obliqua,1
Xylosma glaberrima,1
Cupania vernalis,1
Matayba intermedia,1
Matayba obovata,1
Chrysophyllum flexuosum,1
Diploon cuspidatum,1
Micropholis crassipedicellata,1
Pouteria bullata,1
Pouteria caimito,1
Pradosia lactescens,1
Solanum cinnamomeum,1
Symplocos estrellensis,1
Cecropia hololeuca,1
Coussapoa microcarpa,1
Qualea glaziovii,1
Vochysia magnifica,1
Drimys brasiliensis,1
Hyeronima alchorneoides,1
Alsophila setosa,1
Matayba guianensis,1
Gymnanthes concolor,1
Magnolia ovata,1
Cordia silvestris,1
Pisonia zapallo,1
Verbenoxylum reitzii,1
Luehea divaricata,1
Myrcia splendens,1
Chrysophyllum inornatum,1
Annona rugulosa,1
Nectandra megapotamica,1
Erythrina falcata,1
Solanum sanctae-catharinae,1
Annona sericea,1
Inga marginata,1
Dicksonia sellowiana,1
Duguetia lanceolata,1
Roupala montana,1
Ficus luschnathiana,1
Campomanesia xanthocarpa,1
Myrocarpus frondosus,1
Myrcia brasiliensis,1
Cinnamomum glaziovii,1
Myrciaria plinioides,1
Aegiphila integrifolia,1
Myrcia pubipetala,1
Trichilia pallens,1
Kaunia rufescens,1
Ocotea indecora,1
Xylopia brasiliensis,1
Zanthoxylum rhoifolium,1
Phytolacca dioica,1
Abarema langsdorffii,1
Pseudobombax grandiflorum,1
Aegiphila brachiata,1
Marlierea silvatica,1
Maytenus glaucescens,1
Myrcia glabra,1
Sloanea guianensis,1
Albizia edwallii,1
Clethra scabra,1
Eugenia bacopari,1
Myrsine parvula,1
Piptocarpha axillaris,1
Piptocarpha tomentosa,1
Xylosma prockia,1
Astrocaryum aculeatissimum,1
Aureliana fasciculata,1
Capsicum campylopodium,1
Inga vera,1
